LookupType|LookupCode|DisplaySequence|EnabledFlag|StartDateActive|EndDateActive|Meaning|Description|Tag
WSC_BS_ACCOUNT_NATURAL_SIGN|66||Y|1/1/1951||66|111065|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|67||Y|1/1/1951||67|111066|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|68||Y|1/1/1951||68|111067|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|69||Y|1/1/1951||69|111068|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|70||Y|1/1/1951||70|111069|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|71||Y|1/1/1951||71|111070|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|72||Y|1/1/1951||72|111071|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|73||Y|1/1/1951||73|111072|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|74||Y|1/1/1951||74|111073|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|75||Y|1/1/1951||75|111074|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|76||Y|1/1/1951||76|111075|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|77||Y|1/1/1951||77|111076|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|78||Y|1/1/1951||78|111077|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|79||Y|1/1/1951||79|111078|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|80||Y|1/1/1951||80|111079|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|81||Y|1/1/1951||81|111080|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|82||Y|1/1/1951||82|111081|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|83||Y|1/1/1951||83|111082|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|84||Y|1/1/1951||84|111083|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|85||Y|1/1/1951||85|111084|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|86||Y|1/1/1951||86|111085|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|87||Y|1/1/1951||87|111086|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|88||Y|1/1/1951||88|111087|Credit
WSC_BS_ACCOUNT_NATURAL_SIGN|89||Y|1/1/1951||89|111088|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|90||Y|1/1/1951||90|111089|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|91||Y|1/1/1951||91|111090|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|92||Y|1/1/1951||92|111091|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|93||Y|1/1/1951||93|111092|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|94||Y|1/1/1951||94|111093|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|95||Y|1/1/1951||95|111094|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|96||Y|1/1/1951||96|111095|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|97||Y|1/1/1951||97|111096|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|98||Y|1/1/1951||98|111097|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|99||Y|1/1/1951||99|111098|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|100||Y|1/1/1951||100|111099|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|101||Y|1/1/1951||101|111100|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|102||Y|1/1/1951||102|111101|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|103||Y|1/1/1951||103|111102|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|104||Y|1/1/1951||104|111103|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|105||Y|1/1/1951||105|111104|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|106||Y|1/1/1951||106|111105|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|107||Y|1/1/1951||107|111106|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|108||Y|1/1/1951||108|111107|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|109||Y|1/1/1951||109|111108|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|110||Y|1/1/1951||110|111109|Debit
