DVM,WSC_COMMON_CONTROL_T_STATUS,This DVM will contain the actual status for control status.
ACTION,STATUS_VALUE
DATA_BEF_DUMP_TO_DB,INIT
DATA_AFT_DUMP_TO_DB,NEW
DATA_COA_TRANSFORMED,TRANSFORM_SUCCESS
DATA_UPLOADED_TO_UCM,UCM_UPLOADED
IMPORT_ACC_JOB_SUCCESS,IMP_ACC_SUCCESS
IMPORT_ACC_JOB_ERROR,IMP_ACC_ERROR
