COA_NAME,SOURCE_SEGMENT1,SOURCE_SEGMENT2,SOURCE_SEGMENT3,SOURCE_SEGMENT4,SOURCE_SEGMENT5,SOURCE_SEGMENT6,SOURCE_SEGMENT7,SOURCE_SEGMENT8,SOURCE_SEGMENT9,SOURCE_SEGMENT10
POC to Cloud,018,001841,40101,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001955,10199,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50704,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,40103,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007312,40001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,10408,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,70902,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,50801,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,40601,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,40204,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,70901,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50001,018,000000,000000,000000,USD WESCO US,,
POC to Cloud,013,004013,10701,002,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,11499,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,10011,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,40201,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,21404,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,20001,002,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,10406,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,40005,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,70106,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,12004,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,21423,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,20004,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,40001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,70901,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,21404,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,50707,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50724,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50722,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,11498,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,50709,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004444,50601,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,20019,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,21581,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,22222,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,40102,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,40105,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,11049,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,10199,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,40004,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007304,50601,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,10409,018,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,20097,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50201,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,20006,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,70609,002,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50201,018,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004444,30401,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,60401,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,11001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,11150,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,10496,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007152,40101,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,20052,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50721,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007302,40001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50724,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,20006,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,40101,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,50601,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,40103,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50710,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,50705,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,40603,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,20001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,10412,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007148,40201,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007306,40201,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,70401,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,50703,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,50723,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,20005,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,50803,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,11052,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,11051,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,11050,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50723,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50601,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007152,40201,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,21421,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,20005,000,000000,000000,000000,USD WESCO US,,
