COA_NAME,SOURCE_SEGMENT1,SOURCE_SEGMENT2,SOURCE_SEGMENT3,SOURCE_SEGMENT4,SOURCE_SEGMENT5,SOURCE_SEGMENT6,SOURCE_SEGMENT7,SOURCE_SEGMENT8,SOURCE_SEGMENT9,SOURCE_SEGMENT10
Central to Cloud,1764,545-17,,,,,,,,
Central to Cloud,7461,545-15,,,,,,,,
Central to Cloud,7697,502-29,,,,,,,,
Central to Cloud,3560,201-02,,,,,,,,
Central to Cloud,7582,502-39,,,,,,,,
Central to Cloud,7582,545-17,,,,,,,,
Central to Cloud,7587,201-01,,,,,,,,
Central to Cloud,7587,201-02,,,,,,,,
Central to Cloud,7802,545-18,,,,,,,,
Central to Cloud,7815,224-04,,,,,,,,
Central to Cloud,7819,201-02,,,,,,,,
Central to Cloud,7819,545-17,,,,,,,,
Central to Cloud,7829,201-01,,,,,,,,
Central to Cloud,7843,201-01,,,,,,,,
Central to Cloud,7848,201-02,,,,,,,,
Central to Cloud,1961,221-20,,,,,,,,
Central to Cloud,1961,221-21,,,,,,,,
Central to Cloud,6672,221-15,,,,,,,,
Central to Cloud,7848,545-17,,,,,,,,
Central to Cloud,7849,201-03,,,,,,,,
Central to Cloud,7540,201-03,,,,,,,,
Central to Cloud,7551,201-03,,,,,,,,
Central to Cloud,7551,502-39,,,,,,,,
Central to Cloud,7552,545-17,,,,,,,,
Central to Cloud,7557,201-02,,,,,,,,
Central to Cloud,7557,502-29,,,,,,,,
Central to Cloud,7144,221-21,,,,,,,,
Central to Cloud,7587,502-39,,,,,,,,
Central to Cloud,7623,545-17,,,,,,,,
Central to Cloud,7623,545-18,,,,,,,,
Central to Cloud,7574,502-39,,,,,,,,
Central to Cloud,7574,545-15,,,,,,,,
Central to Cloud,7575,545-17,,,,,,,,
Central to Cloud,7575,545-18,,,,,,,,
Central to Cloud,7850,545-17,,,,,,,,
Central to Cloud,2815,221-15,,,,,,,,
Central to Cloud,3735,201-02,,,,,,,,
Central to Cloud,3735,502-39,,,,,,,,
Central to Cloud,7628,201-02,,,,,,,,
Central to Cloud,7628,502-39,,,,,,,,
Central to Cloud,7630,502-39,,,,,,,,
Central to Cloud,7630,545-18,,,,,,,,
Central to Cloud,7641,545-18,,,,,,,,
Central to Cloud,7645,201-03,,,,,,,,
Central to Cloud,7646,224-04,,,,,,,,
Central to Cloud,7646,545-18,,,,,,,,
Central to Cloud,7852,434-40,,,,,,,,
Central to Cloud,7852,545-18,,,,,,,,
Central to Cloud,7853,545-15,,,,,,,,
Central to Cloud,7881,502-39,,,,,,,,
Central to Cloud,5234,201-03,,,,,,,,
Central to Cloud,5438,201-03,,,,,,,,
Central to Cloud,5438,545-17,,,,,,,,
Central to Cloud,5441,201-03,,,,,,,,
Central to Cloud,5441,545-15,,,,,,,,
Central to Cloud,7653,545-18,,,,,,,,
Central to Cloud,7657,545-15,,,,,,,,
Central to Cloud,5696,426-80,,,,,,,,
Central to Cloud,1971,221-20,,,,,,,,
Central to Cloud,7539,433-23,,,,,,,,
Central to Cloud,7852,421-77,,,,,,,,
Central to Cloud,2625,423-61,,,,,,,,
Central to Cloud,2380,201-11,,,,,,,,
Central to Cloud,7692,421-60,,,,,,,,
Central to Cloud,7697,421-41,,,,,,,,
Central to Cloud,6109,423-76,,,,,,,,
Central to Cloud,7628,426-59,,,,,,,,
Central to Cloud,7654,426-67,,,,,,,,
Central to Cloud,3705,423-66,,,,,,,,
Central to Cloud,6501,421-44,,,,,,,,
Central to Cloud,1977,428-01,,,,,,,,
Central to Cloud,2390,423-45,,,,,,,,
Central to Cloud,2460,423-81,,,,,,,,
Central to Cloud,1971,421-09,,,,,,,,
Central to Cloud,6672,421-66,,,,,,,,
Central to Cloud,6438,222-12,,,,,,,,
Central to Cloud,5223,423-38,,,,,,,,
Central to Cloud,2350,426-68,,,,,,,,
Central to Cloud,1768,222-02,,,,,,,,
Central to Cloud,7890,421-30,,,,,,,,
Central to Cloud,2410,426-52,,,,,,,,
Central to Cloud,7660,421-11,,,,,,,,
Central to Cloud,2145,221-22,,,,,,,,
Central to Cloud,2330,421-53,,,,,,,,
Central to Cloud,1116,423-39,,,,,,,,
Central to Cloud,1791,423-79,,,,,,,,
Central to Cloud,1794,421-07,,,,,,,,
Central to Cloud,1957,421-52,,,,,,,,
Central to Cloud,2335,421-53,,,,,,,,
Central to Cloud,2335,423-59,,,,,,,,
Central to Cloud,2350,423-12,,,,,,,,
Central to Cloud,2350,423-38,,,,,,,,
Central to Cloud,2450,423-67,,,,,,,,
Central to Cloud,2460,421-42,,,,,,,,
Central to Cloud,2460,423-63,,,,,,,,
Central to Cloud,2460,423-67,,,,,,,,
Central to Cloud,2510,421-50,,,,,,,,
Central to Cloud,2510,421-59,,,,,,,,
Central to Cloud,2680,421-40,,,,,,,,
Central to Cloud,2685,224-30,,,,,,,,
Central to Cloud,2685,421-43,,,,,,,,
Central to Cloud,2350,423-50,,,,,,,,
Central to Cloud,1925,222-05,,,,,,,,
Central to Cloud,1938,222-02,,,,,,,,
Central to Cloud,2365,421-67,,,,,,,,
Central to Cloud,2370,421-79,,,,,,,,
Central to Cloud,2370,423-66,,,,,,,,
Central to Cloud,2380,428-01,,,,,,,,
Central to Cloud,3715,423-40,,,,,,,,
Central to Cloud,3905,421-08,,,,,,,,
Central to Cloud,2410,421-69,,,,,,,,
Central to Cloud,2510,421-07,,,,,,,,
Central to Cloud,2750,421-32,,,,,,,,
Central to Cloud,3405,421-60,,,,,,,,
Central to Cloud,2610,421-41,,,,,,,,
Central to Cloud,2755,421-38,,,,,,,,
Central to Cloud,2760,423-40,,,,,,,,
Central to Cloud,2510,423-50,,,,,,,,
Central to Cloud,2365,433-50,,,,,,,,
Central to Cloud,7370,421-80,,,,,,,,
Central to Cloud,2120,222-09,,,,,,,,
Central to Cloud,1984,222-02,,,,,,,,
Central to Cloud,1938,423-62,,,,,,,,
Central to Cloud,2125,423-33,,,,,,,,
Central to Cloud,2335,421-10,,,,,,,,
Central to Cloud,2510,540-15,,,,,,,,
Central to Cloud,2660,502-96,,,,,,,,
Central to Cloud,2216,423-61,,,,,,,,
Central to Cloud,7645,426-07,,,,,,,,
Central to Cloud,5565,421-50,,,,,,,,
Central to Cloud,7410,421-68,,,,,,,,
Central to Cloud,5793,423-68,,,,,,,,
Central to Cloud,1977,417-01,,,,,,,,
Central to Cloud,6441,423-77,,,,,,,,
Central to Cloud,1918,423-07,,,,,,,,
Central to Cloud,1933,421-52,,,,,,,,
Central to Cloud,7853,221-15,,,,,,,,
Central to Cloud,7879,221-21,,,,,,,,
Central to Cloud,1546,426-79,,,,,,,,
Central to Cloud,1938,426-53,,,,,,,,
Central to Cloud,1447,423-33,,,,,,,,
Central to Cloud,3705,433-50,,,,,,,,
Central to Cloud,2120,423-50,,,,,,,,
Central to Cloud,6216,302-07,,,,,,,,
Central to Cloud,5837,423-10,,,,,,,,
Central to Cloud,6103,433-06,,,,,,,,
Central to Cloud,5235,433-32,,,,,,,,
Central to Cloud,3916,222-01,,,,,,,,
Central to Cloud,6706,221-18,,,,,,,,
Central to Cloud,7864,426-63,,,,,,,,
Central to Cloud,7205,423-82,,,,,,,,
Central to Cloud,7855,423-10,,,,,,,,
